_id,image_url,new_id,title,ingredients,servings,instructions,dairy_free,gluten_free,pescatarian,vegetarian,nut_free,cycle_phase,free_version,breakfast,lunch,dinner,snack
64d104d68a3a343dcd65568c,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/A Simple Sauce with Red Lentils_generated_64d104d68a3a343dcd65568c.jpeg,64d104d68a3a343dcd65568c,A Simple Sauce with Red Lentils,"['3/4 c Red lentils', '1/2 c Minced onion', '2 ts Minced garlic', '4 1/2 c Defatted chicken stock', '(or vegetable stock or water)']",1,"['Carefully pick over and rinse lentils', 'Add onions and garlic to a deep saucepan and saute in oil until very soft but not browned', 'Add lentils and stock or water and bring to a boil', 'Reduce heat, cover and simmer gently for 20 to 25 minutes or until lentils are very tender', 'Puree mixture with an upright or immersion blender adding stock or water to yield desired thickness', 'Season to taste with salt and pepper', 'This recipe yields about 2 cups of sauce', 'Comments: This is a healthy, almost non-fat ""sauce"" that uses pureed lentils to give it richness and body', 'You can use other lentils too, such as, white, black, green or common brown', 'You can add seasonings and flavorings of your choice, such as, a good toasted curry powder, chopped herbs, ground pure chile powder, etc']",True,True,False,False,True,Ovulatory,False,False,True,True,False
64d104c48a3a343dcd6553b3,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/A_Great_Big_Squidgy_Dinner_generated_64d104c48a3a343dcd6553b3.jpeg,64d104c48a3a343dcd6553b3,A Great Big Squidgy Dinner,"['8 Vine tomatoes', '4 tb Olive oil', '4 Sprigs fresh thyme', '2 Cloves garlic', '1 Potato; scrubbed clean', '1 ts Roughly chopped fresh ginger', '2 Eggs', 'Vegetable oil for deep frying', '8 tb Self-raising flour', '1 tb Chopped fresh tarragon', '2 ts Bicarbonate of soda', '2 Lemons; juice of', '2 Turkey breast steaks; about 350 g cut into gougon strips', '25 g Butter', '8 tb Milk; about', '1 bn Edible dandelion leaves', 'Washed; dried and roughly chopped', 'A few edible nasturtium and marigold flowers', '1 lg Onion; chopped', '1 tb Clear honey', 'Salt and pepper']",2,"['Preheat oven to 200c/400f/Gas 6', '1 Slice one tomato and retain', 'Cut a cross in the top of each remaining tomato and arrange in a small roasting tin', '2 Drizzle over 2 tbsp olive oil and lay the thyme sprigs and garlic on top', 'Cook in the oven for about 20 minutes, or until the tomatoes are tender', '3 Peel the potato and retain the peelings', 'Chop the potato into cubes, add to a pan of boiling salted water', '4 Simmer for five minutes, add the chopped ginger to the pan and continue cooking until the potatoes are tender', '5 Cook the eggs in a pan of boiling water for about 7-10 minutes, depending on taste', 'Remove the shells and cut in half', '6 Fill a deep pan one third full with vegetable oil and heat', 'Place the flour in a bowl, add the chopped tarragon, bicarbonate of soda and juice of 1 lemon', '7 Add enough milk to make a batter', 'Dip the turkey pieces in the batter to coat and deep fry until cooked through and golden', 'Drain on kitchen paper', '8 Deep fry the potato peelings until golden and drain on kitchen paper', 'Drain the potatoes and ginger and mash with butter, 2 tbsp milk and season', '9 For the Salad: Toss together the dandelion leaves, nasturtium and marigolds and half of the sliced tomato in a bowl', '10 Heat 2 tbsp olive oil in a small pan', 'Add the chopped onion and cook gently until softened and golden, add the honey and juice of 1 lemon, mix together and season', '11 Pour the dressing over the salad and pile onto the centre of a plate', 'Sit the hard boiled eggs on top', '12 Spoon the mash onto another plate, sit the turkey gougons on top and arrange the remaining tomato slices around the edge of the plate', 'Per serving: 519 Calories (kcal); 44g Total Fat; (72% calories from fat); 10g Protein; 27g Carbohydrate; 223mg Cholesterol; 196mg Sodium Food Exchanges: 1 Grain(Starch); 1 Lean Meat; 1 Vegetable; 1/2 Fruit; 8 Fat; 0 Other Carbohydrates']",False,False,False,False,True,Menstrual,False,True,True,False,False
64d104d98a3a343dcd6556f7,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/Acorn Squash and Wild Rice_generated_64d104d98a3a343dcd6556f7.jpeg,64d104d98a3a343dcd6556f7,Acorn Squash and Wild Rice,"['2 Acorn squash, ~1-1/2 lb ea', '1/2 lb Small Brussels sprouts', '2 ts Olive oil', '1 c Diced onion', '1 ts Fennel seeds', '1 ts Dried marjoram', '1/4 c Minced fresh sage', '1/4 c Fresh orange juice', '2 ts Fresh lemon juice', '1/8 ts Freshly grated pepper', '2 c Cooked wild rice']",4,"['Preheat the oven to 350 degrees (F)', 'Cut each squash in half and remove the seeds and pulp', 'In a large baking dish, place the squash, cut side down, with about 1 inch of water', 'Bake until tender, about 45 minutes', 'Pour about 2 inches of water into a large stockpot', 'Place a collapsible steamer in the pot, cover, and bring to a boil', 'Place the Brussels sprouts in the steamer, cover, and steam for 5 to 7 minutes, or until tender', 'Set aside', 'Meanwhile, in a large skillet, heat the oil over low heat', 'Add the onion and saute for 10 minutes, stirring frequently', 'Stir in the fennel, marjoram, sage, orange juice, lemon juice, and pepper, and simmer for 3 minutes', 'Stir in the cooked wild rice and the Brussels sprouts and heat through', 'Spoon the wild rice and Brussels sprout mixture into the squash cavities', 'Serve immediately']",True,True,False,True,True,Menstrual,False,False,True,True,False
64d104c68a3a343dcd6553e9,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/Acrats_De_Morue_Catfish_Fritters__generated_64d104c68a3a343dcd6553e9.jpeg,64d104c68a3a343dcd6553e9,Acrats De Morue (Catfish Fritters),"['1 1/2 c Flour, all-purpose', '1/2 ts Salt', '2 md Eggs', '3 tb Butter, unsalted; melted, cooled', '1 c Milk, whole', '1/2 lb Salt codfish', '1 Pepper, hot; seeded', '2 Scallions; chopped fine', '1 Garlic cloves; crushed', '1 tb Parsley; chopped', '1/2 ts Thyme', '1 Allspice berry; ground', 'Pepper, black; to taste', 'Oil, vegetable']",8,"['Sift flour and salt into bowl', 'Beat eggs with butter and add to flour mixture', 'Add milk gradually, stirring only to mix', 'Add more milk if batter is too stiff', 'Cover, allow to stand 3 hours', 'Meanwhile, soak fish in cold water', 'Drain, remove bones and skin', 'Pound fish in mortar with hot pepper', 'Add scallions, garlic, parsley, thyme, allspice, and black pepper to taste', 'Stir into batter and stand 30 minutes', 'Heat oil in deep fryer (375F) and fry mixture by heaping tablespoons until golden brown', 'Drain on paper towels and keep warm']",False,False,True,False,True,Menstrual,True,False,True,False,True
64d104d78a3a343dcd6556aa,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/Alegria Amaranth Bars_generated_64d104d78a3a343dcd6556aa.jpeg,64d104d78a3a343dcd6556aa,Alegria - Amaranth Bars,"['1/2 c Amaranth; divided use', '1/2 c Pure maple syrup']",24,"['', 'Known as alegria in Mexico and luddos in india, these sweet treats are rather like sesame candy in appearance', ""The only trick to popping amaranth is having a very hot and thin pan -- and it's a trick worth learning"", 'You will also need a candy thermometer', ""Alegria means happy in Spanish and that's how this candy makes you feel"", '1) Heat a wok (preferably deep) or large saucepan (not a cast iron pot or a pan with low sides) over high heat', 'Add 1/4 cup of the amaranth and stir constantly until most of the grains have popped and those that do not pop are a shade or two darker', 'Remove from the pan', 'Repeat with the remaining amaranth', 'Set aside', '2) Place syrup in a medium saucepan over medium-high heat', 'Bring to a soft boil', 'Boil for about 7 minutes or until it reaches 244 degees F', 'on a candy thermometer', 'Stir in amaranth, stirring just enough to coat', 'Scrape onto a large platter', 'Smooth out to l/2-inch thickness, allow to cool for 2 minutes or until it is partially set', 'Cut into fingers', 'Wrap any that are not eaten immediately airtight and store in a cool, dry place', 'These will keep for a month or more']",True,False,False,True,True,Ovulatory,True,True,False,False,True
64d104d88a3a343dcd6556e0,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/Almost Lobster Tail Monkfish Fillets _generated_64d104d88a3a343dcd6556e0.jpeg,64d104d88a3a343dcd6556e0,Almost Lobster Tail (Monkfish Fillets),"['1/4 c Butter; melted (1/2 stick)', '1/2 ts Paprika', '1/4 ts Salt', '1/4 ts Black pepper', 'Four x 6 ounce monkfish fillets', '2 tb Plain bread crumbs']",4,"['Preheat the oven to 350 degrees F', 'In a small bowl, combine the butter, paprika, salt, and pepper; mix well', 'Place the fish on a baking sheet and brush evenly with the butter mixture', 'Sprinkle the bread crumbs evenly down the center of the fish fillets and bake for 15 to 17 minutes, or until the fish flakes easily with a fork', 'Serve immediately', 'Note: Serve with melted butter for dipping and, for a little more zip, use Italian-flavored bread crumbs', 'Wanna fancy it up? Serve along with a small steak for an easy-on-your-pocketbook surf-and-turf', 'Mmm-mmm!']",False,False,True,False,True,Menstrual,False,False,True,True,False
64d104d78a3a343dcd6556ab,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/Amaranth And Corn_generated_64d104d78a3a343dcd6556ab.jpeg,64d104d78a3a343dcd6556ab,Amaranth And Corn,"['1 c Amaranth; rinsed and drained', '1/2 c Fresh corn kernels', '2 1/4 c Spring or filtered water', '1 pn Sea salt']",4,"['Combine amaranth, corn, and water in a medium pan over medium heat and bring to a boil', 'Add salt', 'Cover, reduce heat and simmer 30-35 minutes, until all the liquid is absorbed and the grain is creamy', 'Per serving: 200 Calories; 3g Fat (14% calories from fat); 8g Protein; 37g Carbohydrate; 0mg Cholesterol; 15mg Sodium Food Exchanges: 2 1/2 Starch/Bread; 1/2 Fat NOTES : ""A ancient grain revisited', 'It was cultivated by the Aztecs, but was also widely used in China and in South and Central America', 'Commonly ground into flour, amaranth is also a wonderful whole-grain dish,but it only recently came back into vogue as a grain', 'It has a strong, earthy, sweet flavor that matches perfectly the sweetness of fresh corn', 'Its unique flavor and texture make it a delicious alternative to the more commonly used whole grains']",True,True,False,True,True,Ovulatory,False,False,True,True,False
64d104d78a3a343dcd6556ac,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/Amaranth Banana Pancakes Vegan _generated_64d104d78a3a343dcd6556ac.jpeg,64d104d78a3a343dcd6556ac,Amaranth Banana Pancakes (Vegan),"['1 c Amaranth flour', '1 tb Ener-G egg replacer', '1/2 ts Guar gum; (might be unnecessary if Ener-G egg replacer is used)', '1/4 c Water; (more water :-)', '1 Or 2 bananas']",1,"['Mix dough', 'Prepare non-stick skillet', 'Pour pancakes onto hot skillet', 'Begin to cook', 'Add banana slices so that they still sink in partly but still show their faces through on the top', 'Turn pancakes when ready, so banana slices will come in contact with the skillet', 'When done, serve with banana slices facing up', 'Bananas will be warm and sweeten the pancakes', 'These types of pancakes are fun for children', 'And the little kid in each of us', 'kwvegan vegan']",True,False,False,True,True,Ovulatory,False,True,False,False,False
64d104d78a3a343dcd6556b2,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/Amaranth Date Nut Bread_generated_64d104d78a3a343dcd6556b2.jpeg,64d104d78a3a343dcd6556b2,Amaranth Date Nut Bread,"['1 c Chopped dates', '1/2 c Amaranth', '1 c Boiling water', '2 Eggs', '1/2 c Honey', '1/4 c Butter, melted', '2 c Whole wheat flour', '2 ts Baking powder', '1 c Chopped pecans', '1 ts Vanilla extract']",6,"['Soak dates and amaranth in boiling water', 'Beat eggs well, add honey and butter; beat well', 'Stir in all remaining ingredients mixing well', 'Pour into an oiled loaf pan', 'Bake at 350 F for 1 hour and 15 min', 'From Arrowhead Mills']",False,False,False,True,False,Ovulatory,False,True,False,False,True
64d104d78a3a343dcd6556b3,https://nourishus.s3.us-east-2.amazonaws.com/recipeimages/Amaranth Pancakes_generated_64d104d78a3a343dcd6556b3.jpeg,64d104d78a3a343dcd6556b3,Amaranth Pancakes,"['1 c Amaranth cereal', '1/4 c Whole wheat pastry flour', '1 ts Baking powder', 'Egg replacer for 1 egg', '3/4 c Soy, rice, or nut milk']",2,"['In a medium-sized bowl, mix together the cereal, flour, egg replacerand baking powder', 'Pour the milk over the mixture and beat with a spoon until the ingredients are well combined', 'If the batter is too thick, you may add a little more milk', 'Drop the batter by the 1/4 cup into a hot, oiled skillet and cook over medium-high until bubbles begin to appear on the tops of the pancakes', 'Turn them over and cook until done']",False,False,False,True,True,Ovulatory,True,True,False,False,False
